Farmacia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
DROGAMAJ LTDA;AVENIDA AGGEO PIO SOBRINHO, 415 - LOJA 03;BURITIS;Belo Horizonte;MG;-19,9765791;-43,9674165;AVENIDA AGGEO PIO SOBRINHO, 415 - LOJA 03, BURITIS, Belo Horizonte, MG, Brasil
DROGAMARIO FARMACIA E DROGARIA LTDA EPP;AVENIDA SINFRONIO BROCHADO, Nº 125;BARREIRO;Belo Horizonte;MG;-19,9755032;-44,0132999;AVENIDA SINFRONIO BROCHADO, Nº 125, BARREIRO, Belo Horizonte, MG, Brasil
DROGAMARTE LTDA;DEPUTADO CLAUDIO PINHEIRO DE LIMA;GLORIA;Belo Horizonte;MG;-19,9025966;-44,0075045;DEPUTADO CLAUDIO PINHEIRO DE LIMA, GLORIA, Belo Horizonte, MG, Brasil
DROGAMAXI DROGARIA EIRELI;LAGOA DA PRATA;SALGADO FILHO;Belo Horizonte;MG;-19,9380495;-43,9820687;LAGOA DA PRATA, SALGADO FILHO, Belo Horizonte, MG, Brasil
DROGANOSSA LTDA;DO CONTORNO;FLORESTA;Belo Horizonte;MG;-19,9134329;-43,9295357;DO CONTORNO, FLORESTA, Belo Horizonte, MG, Brasil
DROGARIA & CIA LTDA;GUARAPARI;SANTA AMELIA;Belo Horizonte;MG;-19,8405072;-43,9778788;GUARAPARI, SANTA AMELIA, Belo Horizonte, MG, Brasil
DROGARIA & PERFUMARIA FIALHO LTDA;DJEZAR LEITE;GAMELEIRA;Belo Horizonte;MG;-19,9405157;-43,9948559;DJEZAR LEITE, GAMELEIRA, Belo Horizonte, MG, Brasil
DROGARIA AECIO LTDA;JOSUE MARTINS DE SOUZA;LAGOA;Belo Horizonte;MG;-19,8090965;-44,0033378;JOSUE MARTINS DE SOUZA, LAGOA, Belo Horizonte, MG, Brasil
DROGARIA ALEXANDRE LTDA;EDMAR COLINI FERREIRA;MANTIQUEIRA;Belo Horizonte;MG;-19,7897679;-43,9896449;EDMAR COLINI FERREIRA, MANTIQUEIRA, Belo Horizonte, MG, Brasil
DROGARIA ALVORADA LTDA ME;RUA BELMIRO BRAGA, 1371;Caiçara;Belo Horizonte;MG;-19,906363;-43,9712143;RUA BELMIRO BRAGA, 1371, Caiçara, Belo Horizonte, MG, Brasil
DROGARIA ANDRADAS LTDA;DOS CAETES;CENTRO;Belo Horizonte;MG;-19,9152634;-43,9436658;DOS CAETES, CENTRO, Belo Horizonte, MG, Brasil
DROGARIA ANDREZA LTDA ME;BOAVENTURA;LIBERDADE;Belo Horizonte;MG;-19,8636038;-43,9547231;BOAVENTURA, LIBERDADE, Belo Horizonte, MG, Brasil
DROGARIA ANGELO RONCALLI LTA;SENADOR LEVINDO COELHO;MARIETA I;Belo Horizonte;MG;-19,9915956;-44,0347937;SENADOR LEVINDO COELHO, MARIETA I, Belo Horizonte, MG, Brasil
DROGARIA APOLO LTDA;EDUARDO CARLOS;ARAGUAIA;Belo Horizonte;MG;-19,9902015;-44,0008435;EDUARDO CARLOS, ARAGUAIA, Belo Horizonte, MG, Brasil
