Farmacia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
DROGARIA E PERFUMARIA AGUAS COELHO LTDA;JACUI;FLORESTA;Belo Horizonte;MG;-19,9075074;-43,9322657;JACUI, FLORESTA, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA ALVES E ALMEIDA LTDA;NOGUEIRA DA GAMA;ALTO DOS PINHEIROS;Belo Horizonte;MG;-19,9285419;-44,0035762;NOGUEIRA DA GAMA, ALTO DOS PINHEIROS, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA ANGELO LTDA;ANTONIO EUSTAQUIO PIAZZA;TIROL (BARREIRO);Belo Horizonte;MG;-19,9909094;-44,0452389;ANTONIO EUSTAQUIO PIAZZA, TIROL (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA APOCALIPCE LTDA - EPP;SINFRONIO BROCHADO;BARREIRO;Belo Horizonte;MG;-19,9754012;-44,0134937;SINFRONIO BROCHADO, BARREIRO, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA Barão HOMEM MELO LTDA;BARAO HOMEM DE MELO;JARDIM AMERICA;Belo Horizonte;MG;-19,9401614;-43,972329;BARAO HOMEM DE MELO, JARDIM AMERICA, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA BRENDA LTDA-ME;PADRE PEDRO PINTO;VENDA NOVA;Belo Horizonte;MG;-19,8031725;-43,9983266;PADRE PEDRO PINTO, VENDA NOVA, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA CONFISCO LTDA;ARACY GUIMARAES ROSA;CONFISCO;Belo Horizonte;MG;-19,8658209;-44,0197184;ARACY GUIMARAES ROSA, CONFISCO, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA DANIELA LTDA ME;JOAQUIM CLEMENTE;FLORAMAR;Belo Horizonte;MG;-19,8396478;-43,9332774;JOAQUIM CLEMENTE, FLORAMAR, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA EL SHADAY LTDA - ME;RIO NEGRO;PRADO;Belo Horizonte;MG;-19,9295217;-43,9659775;RIO NEGRO, PRADO, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA ERMELINDO & DIAS LTDA;VICOSA;SAO PEDRO;Belo Horizonte;MG;-19,9454938;-43,9389531;VICOSA, SAO PEDRO, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA GILEADE LTDA -ME;EUCLASIO;SANTA EFIGENIA;Belo Horizonte;MG;-19,9255872;-43,9106579;EUCLASIO, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA GODINHO LTDA ME;LUIZ CASTANHEDE;SANTA CRUZ;Belo Horizonte;MG;-19,8766258;-43,9357162;LUIZ CASTANHEDE, SANTA CRUZ, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA GOMES E DUARTE LTDA - ME;EDUARDO CARLOS;ARAGUAIA;Belo Horizonte;MG;-19,9902015;-44,0008435;EDUARDO CARLOS, ARAGUAIA, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA GUARARAPES LTDA - ME;RUA GUARARAPES 274;GLORIA;Belo Horizonte;MG;-19,9045284;-44,0125371;RUA GUARARAPES 274, GLORIA, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA GUSMAO LTDA - ME;DAS GABIROBAS;VILA CLORIS;Belo Horizonte;MG;-19,8187963;-43,9472067;DAS GABIROBAS, VILA CLORIS, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA J & C LTDA;LEONTINO FRANCISCO ALVES, Nº 185, LOJA: 02;SERRA VERDE;Belo Horizonte;MG;-19,7927477;-43,9561941;LEONTINO FRANCISCO ALVES, Nº 185, LOJA: 02, SERRA VERDE, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA JESSICA LTDA;BERNARDA SILVESTRE;RIO BRANCO;Belo Horizonte;MG;-19,8159736;-43,982888;BERNARDA SILVESTRE, RIO BRANCO, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA JMR LTDA;SAO ROMULO;PAULO VI;Belo Horizonte;MG;-19,8356142;-43,8865091;SAO ROMULO, PAULO VI, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA L&F LTDA - ME;JACUI;RENASCENCA;Belo Horizonte;MG;-19,8861513;-43,9358763;JACUI, RENASCENCA, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA LISBOA LTDA;JOSE BRANDAO;BARREIRO;Belo Horizonte;MG;-19,9750887;-44,0141022;JOSE BRANDAO, BARREIRO, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA LORRAINE LTDA;RUA PONTA GROSSA Nº35;MILIONÁRIOS;Belo Horizonte;MG;-19,9829884;-43,9987508;RUA PONTA GROSSA Nº35, MILIONÁRIOS, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA LUZ DO CÉU LTDA ME;AUGUSTO DOS ANJOS;RIO BRANCO;Belo Horizonte;MG;-19,8182833;-43,9854839;AUGUSTO DOS ANJOS, RIO BRANCO, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA MARIA FERNANDES LTDA;JUDA;GLORIA;Belo Horizonte;MG;-19,898082;-44,0110814;JUDA, GLORIA, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA MAXI TUPI LTDA;FURQUIM WERNECK;TUPI A;Belo Horizonte;MG;-19,8344575;-43,9203142;FURQUIM WERNECK, TUPI A, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA NASCIMENTO E CUNHA LTDA - ME;ANDRADA E SILVA;JARDIM LEBLON;Belo Horizonte;MG;-19,8253258;-43,9863816;ANDRADA E SILVA, JARDIM LEBLON, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA NIQUELINA LTDA - EPP;RUA NIQUELINA, 1472, LOJA 11;SANTA EFIGENIA;Belo Horizonte;MG;-19,9237686;-43,9212458;RUA NIQUELINA, 1472, LOJA 11, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA RABELO ALVES LTDA;GENERAL CLARK;SAO SALVADOR;Belo Horizonte;MG;-19,8913009;-44,0145103;GENERAL CLARK, SAO SALVADOR, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA RAIO DE LUZ LTDA - ME;AVAI;DOM BOSCO;Belo Horizonte;MG;-19,9156666;-44,0041302;AVAI, DOM BOSCO, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA REGINA LTDA - ME;MANJERICAO;LINDEIA (BARREIRO);Belo Horizonte;MG;-19,9740489;-44,0456259;MANJERICAO, LINDEIA (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA RENASCENCA LTDA ME;AIURUOCA;SAO PAULO;Belo Horizonte;MG;-19,8705319;-43,9225577;AIURUOCA, SAO PAULO, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA SAO GABRIEL LTDA;ILHA DE MALTA;SAO GABRIEL;Belo Horizonte;MG;-19,8569665;-43,9137226;ILHA DE MALTA, SAO GABRIEL, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA SEARA LTDA EPP;DOS TUPIS;CENTRO;Belo Horizonte;MG;-19,9199673;-43,9457542;DOS TUPIS, CENTRO, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA TORRES LTDA-ME;OSORIO DUQUE ESTRADA;CAMPO ALEGRE;Belo Horizonte;MG;-19,8289187;-43,9449163;OSORIO DUQUE ESTRADA, CAMPO ALEGRE, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA TRINDADE LTDA - ME;CENTRAL;JARDIM LEBLON;Belo Horizonte;MG;-19,8251442;-43,9880652;CENTRAL, JARDIM LEBLON, Belo Horizonte, MG, Brasil
DROGARIA E PERFUMARIA W&R LTDA;CENTRAL;JARDIM LEBLON;Belo Horizonte;MG;-19,8251442;-43,9880652;CENTRAL, JARDIM LEBLON, Belo Horizonte, MG, Brasil
DROGARIA EBENEZER LTDA;rua ANGOLA, 254;SAO PAULO;Belo Horizonte;MG;-19,8674514;-43,9260979;rua ANGOLA, 254, SAO PAULO, Belo Horizonte, MG, Brasil
DROGARIA ELENIZIA LTDA ME;LUIZ PONGELUPE;CARDOSO (BARREIRO);Belo Horizonte;MG;-20,00629;-44,0100157;LUIZ PONGELUPE, CARDOSO (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA ELIZIO DE BRITO LTDA - ME;R MARIA CONCEICAO BONFIM 1463 LOJA;GOIANIA;Belo Horizonte;MG;-19,8657011;-43,9000893;R MARIA CONCEICAO BONFIM 1463 LOJA, GOIANIA, Belo Horizonte, MG, Brasil
DROGARIA ELLER LTDA ME;MARIA APARECIDA;SAO MARCOS;Belo Horizonte;MG;-19,8706828;-43,9114992;MARIA APARECIDA, SAO MARCOS, Belo Horizonte, MG, Brasil
DROGARIA ESTANCIA DOS INGLESES LTDA;RUA ITALIA ELMO, 10, LOJA 02;BETANIA;Belo Horizonte;MG;-19,9586109;-43,9922251;RUA ITALIA ELMO, 10, LOJA 02, BETANIA, Belo Horizonte, MG, Brasil
DROGARIA FABIANA LTDA;URSULA PAULINO;BETANIA;Belo Horizonte;MG;-19,9597776;-43,9893759;URSULA PAULINO, BETANIA, Belo Horizonte, MG, Brasil
DROGARIA FALCONIERE LTDA;SARAMENHA;GUARANI;Belo Horizonte;MG;-19,8449996;-43,9164787;SARAMENHA, GUARANI, Belo Horizonte, MG, Brasil
DROGARIA FARMA ELER LTDA;EXPEDICIONARIO JOSE ZEFERINO;MARIA GORETTI;Belo Horizonte;MG;-19,8600501;-43,9097778;EXPEDICIONARIO JOSE ZEFERINO, MARIA GORETTI, Belo Horizonte, MG, Brasil
DROGARIA FERNANDES & CORDEIRO LTDA - ME;PROFESSOR LUIZ BICALHO;BRASIL INDUSTRIAL (BARREIRO);Belo Horizonte;MG;-19,99849;-44,01446;PROFESSOR LUIZ BICALHO, BRASIL INDUSTRIAL (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA FERREIRA TELLES LTDA - ME;CONEGO SANTANA;SANTA CRUZ;Belo Horizonte;MG;-19,8842107;-43,9451489;CONEGO SANTANA, SANTA CRUZ, Belo Horizonte, MG, Brasil
DROGARIA FLAMBOYANT LTDA;DOMINGOS FERNANDES;UNIAO;Belo Horizonte;MG;-19,8833178;-43,9219184;DOMINGOS FERNANDES, UNIAO, Belo Horizonte, MG, Brasil
DROGARIA FLEX FARMA BH LTDA;EXPEDICIONARIO PAULO DE SOUZA;URCA;Belo Horizonte;MG;-19,8709219;-44,0145578;EXPEDICIONARIO PAULO DE SOUZA, URCA, Belo Horizonte, MG, Brasil
DROGARIA FRANCISCANA LTDA;PADRE PEDRO PINTO;VENDA NOVA;Belo Horizonte;MG;-19,8031725;-43,9983266;PADRE PEDRO PINTO, VENDA NOVA, Belo Horizonte, MG, Brasil
DROGARIA GÁVEA LTDA;RUA JUNQUILHOS Nº1234;NOVA SUISSA;Belo Horizonte;MG;-19,9377337;-43,9740471;RUA JUNQUILHOS Nº1234, NOVA SUISSA, Belo Horizonte, MG, Brasil
DROGARIA GRANFAR LTDA - ME;LUPERCIO PAIXAO;TIROL (BARREIRO);Belo Horizonte;MG;-19,9951468;-44,0451401;LUPERCIO PAIXAO, TIROL (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA GRAUNA LTDA;GRAUNAS;FLAVIO MARQUES LISBOA (BARREIRO);Belo Horizonte;MG;-19,9964115;-43,99384;GRAUNAS, FLAVIO MARQUES LISBOA (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA GURGUEL LTDA;PERIMETRAL;VILA FORMOSA VALE DO JATOBA (BARREIRO);Belo Horizonte;MG;;;PERIMETRAL, VILA FORMOSA VALE DO JATOBA (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA HUMAITA LTDA;RUA TAVARES DE MELO 73;CACHOEIRINHA;Belo Horizonte;MG;-19,8806385;-43,9487331;RUA TAVARES DE MELO 73, CACHOEIRINHA, Belo Horizonte, MG, Brasil
DROGARIA INDIANA LTDA;INDIANA;JARDIM AMERICA;Belo Horizonte;MG;-19,946382;-43,9713531;INDIANA, JARDIM AMERICA, Belo Horizonte, MG, Brasil
DROGARIA IRMAOS DUARTE LTDA;MARIA GERTRUDES SANTOS;CEU AZUL;Belo Horizonte;MG;-19,8156566;-44,0020617;MARIA GERTRUDES SANTOS, CEU AZUL, Belo Horizonte, MG, Brasil
DROGARIA IRMAOS SALVADOR LTDA - ME;CONCEICAO DO CANINDE;SAO GABRIEL;Belo Horizonte;MG;-19,8528586;-43,9088417;CONCEICAO DO CANINDE, SAO GABRIEL, Belo Horizonte, MG, Brasil
DROGARIA JARDIM AMERICA LTDA;LINDOLFO DE AZEVEDO;JARDIM AMERICA;Belo Horizonte;MG;-19,9517213;-43,9693972;LINDOLFO DE AZEVEDO, JARDIM AMERICA, Belo Horizonte, MG, Brasil
DROGARIA JHONATA LTDA - ME;MEM DE SA;SANTA EFIGENIA;Belo Horizonte;MG;-19,9240922;-43,9088432;MEM DE SA, SANTA EFIGENIA, Belo Horizonte, MG, Brasil
DROGARIA JONAS VEIGA LTDA;SENHOR SIMEONE;JONAS VEIGA;Belo Horizonte;MG;-19,9179274;-43,892135;SENHOR SIMEONE, JONAS VEIGA, Belo Horizonte, MG, Brasil
DROGARIA JULIANA LTDA ME;ANTONIO EUSTAQUIO PIAZZA;TIROL (BARREIRO);Belo Horizonte;MG;-19,9909094;-44,0452389;ANTONIO EUSTAQUIO PIAZZA, TIROL (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA KIT LTDA - ME;WALDOMIRO LOBO;GUARANI;Belo Horizonte;MG;-19,8458758;-43,9297969;WALDOMIRO LOBO, GUARANI, Belo Horizonte, MG, Brasil
DROGARIA KITTY LTDA;AMERICO MARTINS DA COSTA;PROVIDENCIA;Belo Horizonte;MG;-19,8561573;-43,926231;AMERICO MARTINS DA COSTA, PROVIDENCIA, Belo Horizonte, MG, Brasil
DROGARIA LARA DOMINGOS LTDA - ME;DAS PERPETUAS;LINDEIA (BARREIRO);Belo Horizonte;MG;-19,9786436;-44,0485452;DAS PERPETUAS, LINDEIA (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA LARI LTDA - ME;SILVIANO BRANDAO;HORTO;Belo Horizonte;MG;-19,9084249;-43,9136665;SILVIANO BRANDAO, HORTO, Belo Horizonte, MG, Brasil
DROGARIA LEAL LTDA;ABILIO MACHADO;ALIPIO DE MELO;Belo Horizonte;MG;-19,8941691;-44,0086939;ABILIO MACHADO, ALIPIO DE MELO, Belo Horizonte, MG, Brasil
DROGARIA LEAL LTDA;PARA DE MINAS;PADRE EUSTAQUIO;Belo Horizonte;MG;-19,9142953;-43,9886957;PARA DE MINAS, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil
DROGARIA LEMOS LTDA;CIBIPURUNA;MONTE AZUL;Belo Horizonte;MG;-19,8156574;-43,8927624;CIBIPURUNA, MONTE AZUL, Belo Horizonte, MG, Brasil
DROGARIA LEONARDO LTDA;JAGUARI;BONFIM;Belo Horizonte;MG;-19,9084529;-43,9557278;JAGUARI, BONFIM, Belo Horizonte, MG, Brasil
DROGARIA LG FARMA LTDA;DAVID FONSECA;MILIONARIOS (BARREIRO);Belo Horizonte;MG;-19,9805056;-44,0018307;DAVID FONSECA, MILIONARIOS (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA LIBANIO LTDA ME;CONDE SANTA MARINHA;CACHOEIRINHA;Belo Horizonte;MG;-19,8924674;-43,9456952;CONDE SANTA MARINHA, CACHOEIRINHA, Belo Horizonte, MG, Brasil
DROGARIA LIBERDADE LTDA;IZABEL BUENO;JARAGUA;Belo Horizonte;MG;-19,8585215;-43,9502546;IZABEL BUENO, JARAGUA, Belo Horizonte, MG, Brasil
DROGARIA LIFE LTDA;SENADOR LEVINDO COELHO;SANTA CECILIA VALE DO JATOBA (BARREIRO);Belo Horizonte;MG;-20,0029578;-44,0355291;SENADOR LEVINDO COELHO, SANTA CECILIA VALE DO JATOBA (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA LIMA LTDA;LUIZ PONGELUPE;CARDOSO (BARREIRO);Belo Horizonte;MG;-20,00629;-44,0100157;LUIZ PONGELUPE, CARDOSO (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA LLR LTDA ME;DOUTOR ALVARO CAMARGOS;SANTA MONICA;Belo Horizonte;MG;-19,8271418;-43,9681457;DOUTOR ALVARO CAMARGOS, SANTA MONICA, Belo Horizonte, MG, Brasil
DROGARIA MARIANO LTDA ME;SEBASTIAO DE BRITO;DONA CLARA;Belo Horizonte;MG;-19,8615748;-43,9421434;SEBASTIAO DE BRITO, DONA CLARA, Belo Horizonte, MG, Brasil
DROGARIA MARILIA DE DIRCEU LTDA;MARIANA;BONFIM;Belo Horizonte;MG;-19,9110463;-43,9506932;MARIANA, BONFIM, Belo Horizonte, MG, Brasil
DROGARIA MAXI SANTA TEREZINHA LTDA - EPP;SANTA TEREZINHA;SANTA TEREZINHA;Belo Horizonte;MG;-19,8667559;-44,0013188;SANTA TEREZINHA, SANTA TEREZINHA, Belo Horizonte, MG, Brasil
DROGARIA METROPOLE LTDA;MG-5;IPE;Belo Horizonte;MG;-19,8640039;-43,9045924;MG-5, IPE, Belo Horizonte, MG, Brasil
DROGARIA MIXFARMA LTDA - ME;URSULA PAULINO;CINQUENTENARIO;Belo Horizonte;MG;-19,9545101;-43,983773;URSULA PAULINO, CINQUENTENARIO, Belo Horizonte, MG, Brasil
DROGARIA NOSSA FARMACIA LTDA -ME;ROMUALDO LOPES CANCADO;CASTELO;Belo Horizonte;MG;-19,8881972;-43,996875;ROMUALDO LOPES CANCADO, CASTELO, Belo Horizonte, MG, Brasil
DROGARIA NOSSA SENHORA DA PAZ LTDA;OLINTO MEIRELES;MILIONARIOS (BARREIRO);Belo Horizonte;MG;-19,9863837;-44,0090264;OLINTO MEIRELES, MILIONARIOS (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA NOVA APARECIDA LTDA;AMERICO VESPUCIO;NOVA CACHOEIRINHA;Belo Horizonte;MG;-19,886862;-43,9527577;AMERICO VESPUCIO, NOVA CACHOEIRINHA, Belo Horizonte, MG, Brasil
DROGARIA NOVA APARECIDA LTDA;LEOPOLDINO DE OLIVEIRA;APARECIDA;Belo Horizonte;MG;-19,897581;-43,9573627;LEOPOLDINO DE OLIVEIRA, APARECIDA, Belo Horizonte, MG, Brasil
DROGARIA NOVA POPULAR DO BRASIL LTDA - ME;PENIDO;PIRAJA;Belo Horizonte;MG;-19,8666951;-43,9197129;PENIDO, PIRAJA, Belo Horizonte, MG, Brasil
DROGARIA NOVA SUISSA LTDA;DESEMBARGADOR BARCELOS;NOVA SUISSA;Belo Horizonte;MG;-19,9336652;-43,9790896;DESEMBARGADOR BARCELOS, NOVA SUISSA, Belo Horizonte, MG, Brasil
DROGARIA NOVA YORK LTDA ME;CONSUELO;JARDIM DOS COMERCIARIOS (VENDA NOVA);Belo Horizonte;MG;-19,7897345;-43,9706893;CONSUELO, JARDIM DOS COMERCIARIOS (VENDA NOVA), Belo Horizonte, MG, Brasil
DROGARIA PAQUETA LTDA;POVOA DE VARZIM;PAQUETA;Belo Horizonte;MG;-19,8700667;-43,9934981;POVOA DE VARZIM, PAQUETA, Belo Horizonte, MG, Brasil
DROGARIA PARAOPEBA LTDA;CAPIM BRANCO;VISTA ALEGRE;Belo Horizonte;MG;-19,9547924;-43,9976058;CAPIM BRANCO, VISTA ALEGRE, Belo Horizonte, MG, Brasil
DROGARIA PAULINO LTDA;CURITIBA;CENTRO;Belo Horizonte;MG;-19,9202568;-43,9417036;CURITIBA, CENTRO, Belo Horizonte, MG, Brasil
DROGARIA PEDRO IV LTDA;IMPERIAL;SERRANO;Belo Horizonte;MG;-19,8906903;-44,0110114;IMPERIAL, SERRANO, Belo Horizonte, MG, Brasil
DROGARIA PERFUMARIA C & L LTDA;JULITA NOGUEIRA SOARES;SANTA TEREZINHA;Belo Horizonte;MG;-19,8707202;-44,0083552;JULITA NOGUEIRA SOARES, SANTA TEREZINHA, Belo Horizonte, MG, Brasil
DROGARIA PIONEIRA LTDA ME;COSTA DO MARFIM;HAVAI;Belo Horizonte;MG;-19,9649779;-43,9701258;COSTA DO MARFIM, HAVAI, Belo Horizonte, MG, Brasil
DROGARIA POMPEIA LTDA;AMAZONITA;POMPEIA;Belo Horizonte;MG;-19,9121894;-43,9035359;AMAZONITA, POMPEIA, Belo Horizonte, MG, Brasil
DROGARIA PRIMUS LTDA-ME;CONCEIÇÃO DO MATO DENTRO, Nº420;OURO PRETO;Belo Horizonte;MG;-19,8722536;-43,9829877;CONCEIÇÃO DO MATO DENTRO, Nº420, OURO PRETO, Belo Horizonte, MG, Brasil
DROGARIA PROCOPIO LTDA;RESSACA;CORACAO EUCARISTICO;Belo Horizonte;MG;-19,9198376;-43,9871769;RESSACA, CORACAO EUCARISTICO, Belo Horizonte, MG, Brasil
DROGARIA PROGRESSO LTDA-ME;DOM PEDRO II;MONSENHOR MESSIAS;Belo Horizonte;MG;-19,9125729;-43,975191;DOM PEDRO II, MONSENHOR MESSIAS, Belo Horizonte, MG, Brasil
DROGARIA RAFAELA LTDA;ARGEMIRO RODRIGUES DA SILVA;APARECIDA SETIMA SECAO;Belo Horizonte;MG;-19,8889259;-43,9627169;ARGEMIRO RODRIGUES DA SILVA, APARECIDA SETIMA SECAO, Belo Horizonte, MG, Brasil
DROGARIA SAGRADA FACE LTDA-ME;BARAO DO MONTE ALTO;CARDOSO (BARREIRO);Belo Horizonte;MG;-20,0026357;-44,0073804;BARAO DO MONTE ALTO, CARDOSO (BARREIRO), Belo Horizonte, MG, Brasil
DROGARIA SALES PAIVA LTDA;GENTIL PORTUGAL DO BRASIL;CAMARGOS;Belo Horizonte;MG;-19,933796;-44,0210017;GENTIL PORTUGAL DO BRASIL, CAMARGOS, Belo Horizonte, MG, Brasil
DROGARIA SALMAR LTDA ME;RUA DAS CLARINETAS, 195, LOJA;CALIFORNIA;Belo Horizonte;MG;-19,9247382;-44,0121101;RUA DAS CLARINETAS, 195, LOJA, CALIFORNIA, Belo Horizonte, MG, Brasil
DROGARIA SANA LTDA;MIGUEL PERRELA 440 LOJAS 05 E 06;CASTELO;Belo Horizonte;MG;-19,8793017;-43,9995988;MIGUEL PERRELA 440 LOJAS 05 E 06, CASTELO, Belo Horizonte, MG, Brasil
DROGARIA SANTO ANDRE LTDA;MENDES DE OLIVEIRA;SANTO ANDRE;Belo Horizonte;MG;-19,9017729;-43,9521808;MENDES DE OLIVEIRA, SANTO ANDRE, Belo Horizonte, MG, Brasil
DROGARIA SAO FELIX LTDA;rua PROFESSORA GABRIELA VARELA, 1110;JARDIM GUANABARA;Belo Horizonte;MG;-19,8288016;-43,9322124;rua PROFESSORA GABRIELA VARELA, 1110, JARDIM GUANABARA, Belo Horizonte, MG, Brasil
DROGARIA SAO GERALDO JACUI LTDA;JACUI;FLORESTA;Belo Horizonte;MG;-19,9075074;-43,9322657;JACUI, FLORESTA, Belo Horizonte, MG, Brasil
DROGARIA SAO LEOPOLDO LTDA - ME;ANTONIO JOSE DOS SANTOS;CEU AZUL;Belo Horizonte;MG;-19,8227499;-44,0039799;ANTONIO JOSE DOS SANTOS, CEU AZUL, Belo Horizonte, MG, Brasil
DROGARIA SAO PEDRO DA ALDEIA LTDA - ME;SAO PEDRO DA ALDEIA;PILAR;Belo Horizonte;MG;-20,0013989;-43,9703305;SAO PEDRO DA ALDEIA, PILAR, Belo Horizonte, MG, Brasil
DROGARIA SERENATA LTDA;SERENATA;SANTANA DO CAFEZAL;Belo Horizonte;MG;-19,9356489;-43,9102774;SERENATA, SANTANA DO CAFEZAL, Belo Horizonte, MG, Brasil
DROGARIA SULEIMA LTDA - ME;PITANGUI;HORTO;Belo Horizonte;MG;-19,9087196;-43,9119385;PITANGUI, HORTO, Belo Horizonte, MG, Brasil
DROGARIA T&C LTDA;FRANCISCO SA;GUTIERREZ;Belo Horizonte;MG;-19,9356623;-43,9595796;FRANCISCO SA, GUTIERREZ, Belo Horizonte, MG, Brasil
DROGARIA TAMOIOS LTDA ME;DOS GUARANIS;CENTRO;Belo Horizonte;MG;-19,9150366;-43,9420377;DOS GUARANIS, CENTRO, Belo Horizonte, MG, Brasil
DROGARIA TLC LTDA;MONTEIRO LOBATO;OURO PRETO;Belo Horizonte;MG;-19,8731907;-43,9854815;MONTEIRO LOBATO, OURO PRETO, Belo Horizonte, MG, Brasil
DROGARIA TRIGUEIRO LTDA;RUA JOAO ALVES TEIXEIRA, Nº 242 - LOJA 1;MANTIQUEIRA;Belo Horizonte;MG;-19,7928705;-43,9833316;RUA JOAO ALVES TEIXEIRA, Nº 242 - LOJA 1, MANTIQUEIRA, Belo Horizonte, MG, Brasil
DROGARIA VALDIR LTDA;JOSUE MARTINS DE SOUZA;LAGOA;Belo Horizonte;MG;-19,8090965;-44,0033378;JOSUE MARTINS DE SOUZA, LAGOA, Belo Horizonte, MG, Brasil
DROGARIA VENDA NOVA LTDA;IRACI JOSE DA SILVA;LAGOA;Belo Horizonte;MG;-19,8077095;-44,0028566;IRACI JOSE DA SILVA, LAGOA, Belo Horizonte, MG, Brasil
DROGARIA VILARINHO LTDA;VILARINHO;VENDA NOVA;Belo Horizonte;MG;-19,8216682;-43,9474439;VILARINHO, VENDA NOVA, Belo Horizonte, MG, Brasil
DROGARIA VITORIA MINAS LTDA;ELISIO DE BRITO;BOA VISTA;Belo Horizonte;MG;-19,8956264;-43,9036927;ELISIO DE BRITO, BOA VISTA, Belo Horizonte, MG, Brasil
DROGARIA YPEFARMA LTDA - ME;ITAPECERICA;LAGOINHA;Belo Horizonte;MG;-19,9107525;-43,9421664;ITAPECERICA, LAGOINHA, Belo Horizonte, MG, Brasil
DROGARIAS E PERFUMARIAS AMERICANAS LTDA - ME;CURITIBA;CENTRO;Belo Horizonte;MG;-19,9202568;-43,9417036;CURITIBA, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS E PERFUMARIAS AMERICANAS LTDA - ME;DOS GUARANIS;CENTRO;Belo Horizonte;MG;-19,9150366;-43,9420377;DOS GUARANIS, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS HIPER POPULAR LTDA - ME;ESPIRITO SANTO;CENTRO;Belo Horizonte;MG;-19,9230418;-43,9383385;ESPIRITO SANTO, CENTRO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;ABILIO MACHADO;ALIPIO DE MELO;Belo Horizonte;MG;-19,8941691;-44,0086939;ABILIO MACHADO, ALIPIO DE MELO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;AV. VISCONDE DE IBITURUNA, Nº 19;BARREIRO;Belo Horizonte;MG;-19,9742456;-44,0161016;AV. VISCONDE DE IBITURUNA, Nº 19, BARREIRO, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;CORONEL JOSE DIAS BICALHO;SAO JOSE;Belo Horizonte;MG;-19,8603834;-43,9661102;CORONEL JOSE DIAS BICALHO, SAO JOSE, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;CRISTIANO MACHADO;CIDADE NOVA;Belo Horizonte;MG;-19,8860741;-43,929171;CRISTIANO MACHADO, CIDADE NOVA, Belo Horizonte, MG, Brasil
DROGARIAS PACHECO S/A;DO CONTORNO;PRADO;Belo Horizonte;MG;-19,9264659;-43,958381;DO CONTORNO, PRADO, Belo Horizonte, MG, Brasil
